id|name|cost|type|power|toughness|oracleText|edition|rarity|colorType|cmc
121189|Boreal Shelf| |Snow Land| | |Boreal Shelf comes into play tapped. <br>{T}: Add {W} or {U} to your mana pool.|Coldsnap|Uncommon|null|0
83900|Boros Garrison| |Land| | |Boros Garrison comes into play tapped. <br>When Boros Garrison comes into play, return a land you control to its owner's hand. <br>{T}: Add {R}{W} to your mana pool.|Ravnica: City of Guilds|Common|null|0
75305|Boseiju, Who Shelters All| |Legendary Land| | |Boseiju, Who Shelters All comes into play tapped. <br>{T}, Pay 2 life: Add {1} to your mana pool. If that mana is spent on an instant or sorcery spell, that spell can't be countered by spells or abilities.|Champions of Kamigawa|Rare|null|0
2003|Bottomless Vault| |Land| | |Bottomless Vault comes into play tapped. <br> <br>You may choose not to untap Bottomless Vault during your untap step. <br> <br>At the beginning of your upkeep, if Bottomless Vault is tapped, put a storage counter on it. <br> <br>{T}, Remove any number of storage counters from Bottomless Vault: Add {B} to your mana pool for each storage counter removed this way.|Fallen Empires|Rare|null|0
97088|Breeding Pool| |Land - Forest Island| | |<i>({T}: Add {G} or {U} to your mana pool.)</i> <br>As Breeding Pool comes into play, you may pay 2 life. If you don't, Breeding Pool comes into play tapped.|Dissension|Rare|null|0
2751|Brushland| |Land| | |{T}: Add {1} to your mana pool. <br>{T}: Add {G} or {W} to your mana pool. Brushland deals 1 damage to you.|Ice Age|Rare|null|0
29896|Cabal Coffers| |Land| | |{2}, {T}: Add {B} to your mana pool for each Swamp you control.|Torment|Uncommon|null|0
29904|Cabal Pit| |Land| | |{T}: Add {B} to your mana pool. Cabal Pit deals 1 damage to you. <br><i>Threshold</i> - {B}, {T}, Sacrifice Cabal Pit: Target creature gets -2/-2 until end of turn. Play this ability only if seven or more cards are in your graveyard.|Odyssey|Uncommon|null|0
108930|Calciform Pools| |Land| | |{T}: Add {1} to your mana pool. <br>{1}, {T}: Put a storage counter on Calciform Pools. <br>{1}, Remove X storage counters from Calciform Pools: Add X mana in any combination of {W} and/or {U} to your mana pool.|Time Spiral|Uncommon|null|0
4930|Caldera Lake| |Land| | |Caldera Lake comes into play tapped. <br> <br>{T}: Add {1} to your mana pool. <br> <br>{T}: Add {U} or {R} to your mana pool. Caldera Lake deals 1 damage to you.|Tempest|Rare|null|0
3037|Castle Sengir| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{1}, {T}: Add {B} to your mana pool. <br> <br>{2}, {T}: Add {U} or {R} to your mana pool.|Homelands|Uncommon|null|0
1699|Cathedral of Serra| |Land| | |White legendary creatures you control have "bands with other legendary creatures."|Legends|Uncommon|null|0
23246|Caves of Koilos| |Land| | |{T}: Add {1} to your mana pool. <br>{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.|Apocalypse|Rare|null|0
29905|Centaur Garden| |Land| | |{T}: Add {G} to your mana pool. Centaur Garden deals 1 damage to you. <br><i>Threshold</i> - {G}, {T}, Sacrifice Centaur Garden: Target creature gets +3/+3 until end of turn. Play this ability only if seven or more cards are in your graveyard.|Odyssey|Uncommon|null|0
29903|Cephalid Coliseum| |Land| | |{T}: Add {U} to your mana pool. Cephalid Coliseum deals 1 damage to you. <br><i>Threshold</i> - {U}, {T}, Sacrifice Cephalid Coliseum: Target player draws three cards, then discards three cards. Play this ability only if seven or more cards are in your graveyard.|Odyssey|Uncommon|null|0
21170|Cinder Marsh| |Land| | |{T}: Add {1} to your mana pool. <br>{T}: Add {B} or {R} to your mana pool. Cinder Marsh doesn't untap during your next untap step.|Battle Royale Box Set|Uncommon|null|0
74327|City of Ass| |Land| | |City of Ass comes into play tapped. <br>{T}: Add one and one-half mana of any one color to your mana pool.|Unhinged|Rare|null|0
2886|City of Brass| |Land| | |Whenever City of Brass becomes tapped, it deals 1 damage to you.<br>{T}: Add one mana of any color to your mana pool.|Chronicles|Rare|null|0
1823|City of Shadows| |Land| | |{T}, Remove a creature you control from the game: Put a storage counter on City of Shadows. <br> <br>{T}: Add {X} to your mana pool, where X is the number of storage counters on City of Shadows.|The Dark|Rare|null|0
6168|City of Traitors| |Land| | |When you play another land, sacrifice City of Traitors. <br> <br>{T}: Add {2} to your mana pool.|Exodus|Rare|null|0
79115|Cloudcrest Lake| |Land| | |{T}: Add {1} to your mana pool. <br>{T}: Add {W} or {U} to your mana pool. Cloudcrest Lake doesn't untap during your next untap step.|Champions of Kamigawa|Uncommon|null|0
49050|Cloudpost| |Land - Locus| | |Cloudpost comes into play tapped. <br>{T}: Add {1} to your mana pool for each Locus in play.|Mirrodin|Common|null|0
23240|Coastal Tower| |Land| | |Coastal Tower comes into play tapped.<br>{T}: Add {W} or {U} to your mana pool.|Invasion|Uncommon|null|0
40540|Contested Cliffs| |Land| | |{T}: Add {1} to your mana pool. <br>{R}{G}, {T}: Choose target Beast creature you control and target creature an opponent controls. Each creature deals damage equal to its power to the other.|Onslaught|Rare|null|0
3748|Coral Atoll| |Land| | |Coral Atoll comes into play tapped. <br>When Coral Atoll comes into play, sacrifice it unless you return an untapped Island you control to its owner's hand. <br>{T}: Add {1}{U} to your mana pool.|Visions|Uncommon|null|0
25936|Crosis's Catacombs| |Land - Lair| | |When Crosis's Catacombs comes into play, sacrifice it unless you return a non-Lair land you control to its owner's hand. <br> <br>{T}: Add {U}, {B}, or {R} to your mana pool.|Planeshift|Uncommon|null|0
30012|Crystal Quarry| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{5}, {T}: Add {W}{U}{B}{R}{G} to your mana pool.|Odyssey|Rare|null|0
15413|Crystal Vein| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{T}, Sacrifice Crystal Vein: Add {2} to your mana pool.|Classic Sixth Edition|Uncommon|null|0
136053|Dakmor Salvage| |Land| | |Dakmor Salvage comes into play tapped. <br>{T}: Add {B} to your mana pool. <br>Dredge 2 <i>(If you would draw a card, instead you may put exactly two cards from the top of your library into your graveyard. If you do, return this card from your graveyard to your hand. Otherwise, draw a card.)</i>|Future Sight|Uncommon|null|0
25938|Darigaaz's Caldera| |Land - Lair| | |When Darigaaz's Caldera comes into play, sacrifice it unless you return a non-Lair land you control to its owner's hand. <br> <br>{T}: Add {B}, {R}, or {G} to your mana pool.|Planeshift|Uncommon|null|0
121155|Dark Depths| |Legendary Snow Land| | |Dark Depths comes into play with ten ice counters on it. <br>{3}: Remove an ice counter from Dark Depths. <br>When Dark Depths has no ice counters on it, sacrifice it. If you do, put an indestructible legendary 20/20 black Avatar creature token with flying named Marit Lage into play.|Coldsnap|Rare|null|0
45415|Darksteel Citadel| |Artifact Land| | |Darksteel Citadel is indestructible. <i>("Destroy" effects and lethal damage don't destroy it.)</i> <br>{T}: Add {1} to your mana pool.|Darksteel|Common|null|0
29793|Darkwater Catacombs| |Land| | |{1}, {T}: Add {U}{B} to your mana pool.|Odyssey|Rare|null|0
13210|Daru Encampment| |Land| | |{T}: Add {1} to your mana pool. <br>{W}, {T}: Target Soldier creature gets +1/+1 until end of turn.|Onslaught|Uncommon|null|0
986|Desert| |Land - Desert| | |{T}: Add {1} to your mana pool. <br>{T}: Desert deals 1 damage to target attacking creature. Play this ability only during the end of combat step.|Arabian Nights|Common|null|0
30013|Deserted Temple| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{1}, {T}: Untap target land.|Odyssey|Rare|null|0
987|Diamond Valley| |Land| | |{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.|Arabian Nights|Uncommon|null|0
87929|Dimir Aqueduct| |Land| | |Dimir Aqueduct comes into play tapped. <br>When Dimir Aqueduct comes into play, return a land you control to its owner's hand. <br>{T}: Add {U}{B} to your mana pool.|Ravnica: City of Guilds|Common|null|0
3749|Dormant Volcano| |Land| | |Dormant Volcano comes into play tapped. <br>When Dormant Volcano comes into play, sacrifice it unless you return an untapped Mountain you control to its owner's hand. <br>{T}: Add {1}{R} to your mana pool.|Visions|Uncommon|null|0
108817|Dreadship Reef| |Land| | |{T}: Add {1} to your mana pool. <br>{1}, {T}: Put a storage counter on Dreadship Reef. <br>{1}, Remove X storage counters from Dreadship Reef: Add X mana in any combination of {U} and/or {B} to your mana pool.|Time Spiral|Uncommon|null|0
21203|Drifting Meadow| |Land| | |Drifting Meadow comes into play tapped. <br>{T}: Add {W} to your mana pool. <br>Cycling {2} <I>(</I>{2}<I>, Discard this card: Draw a card.)</I>|Battle Royale Box Set|Common|null|0
25932|Dromar's Cavern| |Land - Lair| | |When Dromar's Cavern comes into play, sacrifice it unless you return a non-Lair land you control to its owner's hand. <br> <br>{T}: Add {W}, {U}, or {B} to your mana pool.|Planeshift|Uncommon|null|0
136196|Dryad Arbor| |Land Creature - Forest Dryad|1|1|<i>(Dryad Arbor isn't a spell, it's affected by summoning sickness, and it has "{T}: Add {G} to your mana pool.")</i> <br>Dryad Arbor is green.|Future Sight|Uncommon|null|0
88943|Duskmantle, House of Shadow| |Land| | |{T}: Add {1} to your mana pool. <br>{U}{B}, {T}: Target player puts the top card of his or her library into his or her graveyard.|Ravnica: City of Guilds|Uncommon|null|0
19772|Dust Bowl| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{3}, {T}, Sacrifice a land: Destroy target nonbasic land.|Mercadian Masques|Rare|null|0
2004|Dwarven Hold| |Land| | |Dwarven Hold comes into play tapped. <br> <br>You may choose not to untap Dwarven Hold during your untap step. <br> <br>At the beginning of your upkeep, if Dwarven Hold is tapped, put a storage counter on it. <br> <br>{T}, Remove any number of storage counters from Dwarven Hold: Add {R} to your mana pool for each storage counter removed this way.|Fallen Empires|Rare|null|0
4180|Dwarven Ruins| |Land| | |Dwarven Ruins comes into play tapped. <br> <br>{T}: Add {R} to your mana pool. <br> <br>{T}, Sacrifice Dwarven Ruins: Add {R}{R} to your mana pool.|Fifth Edition|Uncommon|null|0
26650|Ebon Stronghold| |Land| | |Ebon Stronghold comes into play tapped. <br> <br>{T}: Add {B} to your mana pool. <br> <br>{T}, Sacrifice Ebon Stronghold: Add {B}{B} to your mana pool.|Beatdown Box Set|Uncommon|null|0
79205|Eiganjo Castle| |Legendary Land| | |{T}: Add {W} to your mana pool. <br>{W}, {T}: Prevent the next 2 damage that would be dealt to target legendary creature this turn.|Champions of Kamigawa|Rare|null|0
988|Elephant Graveyard| |Land| | |{T}: Add {1} to your mana pool. <br>{T}: Regenerate target Elephant.|Arabian Nights|Rare|null|0
45495|Elfhame Palace| |Land| | |Elfhame Palace comes into play tapped.<br>{T}: Add {G} or {W} to your mana pool.|Eighth Edition|Uncommon|null|0
3750|Everglades| |Land| | |Everglades comes into play tapped. <br>When Everglades comes into play, sacrifice it unless you return an untapped Swamp you control to its owner's hand. <br>{T}: Add {1}{B} to your mana pool.|Visions|Uncommon|null|0
12495|Faerie Conclave| |Land| | |Faerie Conclave comes into play tapped. <br>{T}: Add {U} to your mana pool. <br>{1}{U}: Faerie Conclave becomes a 2/1 blue Faerie creature with flying until end of turn. It's still a land. <i>(It can't be blocked except by creatures with flying or reach.)</i>|Urza's Legacy|Uncommon|null|0
116733|Flagstones of Trokair| |Legendary Land| | |{T}: Add {W} to your mana pool. <br>When Flagstones of Trokair is put into a graveyard from play, you may search your library for a Plains card and put it into play tapped. If you do, shuffle your library.|Time Spiral|Rare|null|0
3572|Flood Plain| |Land| | |Flood Plain comes into play tapped. <br> <br>{T}, Sacrifice Flood Plain: Search your library for a Plains or Island card and put it into play. Then shuffle your library.|Mirage|Uncommon|null|0
39503|Flooded Strand| |Land| | |{T}, Pay 1 life, Sacrifice Flooded Strand: Search your library for a Plains or Island card and put it into play. Then shuffle your library.|Onslaught|Rare|null|0
79252|Forbidden Orchard| |Land| | |{T}: Add one mana of any color to your mana pool. <br>Whenever you tap Forbidden Orchard for mana, put a 1/1 colorless Spirit creature token into play under target opponent's control.|Champions of Kamigawa|Rare|null|0
12494|Forbidding Watchtower| |Land| | |Forbidding Watchtower comes into play tapped. <br>{T}: Add {W} to your mana pool. <br>{1}{W}: Forbidding Watchtower becomes a 1/5 white Soldier creature until end of turn. It's still a land.|Urza's Legacy|Uncommon|null|0
129562|Forest| |Basic Land - Forest| | |[G]|Tenth Edition|BasicLand|null|0
41140|Forgotten Cave| |Land| | |Forgotten Cave comes into play tapped. <br>{T}: Add {R} to your mana pool. <br>Cycling {R} <I>(</I>{R}<I>, Discard this card: Draw a card.)</I>|Onslaught|Common|null|0
25893|Forsaken City| |Land| | |Forsaken City doesn't untap during your untap step. <br> <br>At the beginning of your upkeep, you may remove a card in your hand from the game. If you do, untap Forsaken City. <br> <br>{T}: Add one mana of any color to your mana pool.|Planeshift|Rare|null|0
19893|Fountain of Cho| |Land| | |Fountain of Cho comes into play tapped. <br> <br>{T}: Put a storage counter on Fountain of Cho. <br> <br>{T}, Remove any number of storage counters from Fountain of Cho: Add {W} to your mana pool for each storage counter removed this way.|Mercadian Masques|Uncommon|null|0
121212|Frost Marsh| |Snow Land| | |Frost Marsh comes into play tapped. <br>{T}: Add {U} or {B} to your mana pool.|Coldsnap|Uncommon|null|0
108796|Fungal Reaches| |Land| | |{T}: Add {1} to your mana pool. <br>{1}, {T}: Put a storage counter on Fungal Reaches. <br>{1}, Remove X storage counters from Fungal Reaches: Add X mana in any combination of {R} and/or {G} to your mana pool.|Time Spiral|Uncommon|null|0
10422|Gaea's Cradle| |Legendary Land| | |{T}: Add {G} to your mana pool for each creature you control.|Urza's Saga|Rare|null|0
122094|Gemstone Caverns| |Legendary Land| | |If Gemstone Caverns is in your opening hand and you're not playing first, you may begin the game with Gemstone Caverns in play with a luck counter on it. If you do, remove a card in your hand from the game. <br>{T}: Add {1} to your mana pool. If Gemstone Caverns has a luck counter on it, instead add one mana of any color to your mana pool.|Time Spiral|Rare|null|0
109761|Gemstone Mine| |Land| | |Gemstone Mine comes into play with three mining counters on it. <br>{T}, Remove a mining counter from Gemstone Mine: Add one mana of any color to your mana pool. If there are no mining counters on Gemstone Mine, sacrifice it.|Time Spiral "Timeshifted"|Special|null|0
23238|Geothermal Crevice| |Land| | |Geothermal Crevice comes into play tapped. <br> <br>{T}: Add {R} to your mana pool. <br> <br>{T}, Sacrifice Geothermal Crevice: Add {B}{G} to your mana pool.|Invasion|Common|null|0
12497|Ghitu Encampment| |Land| | |Ghitu Encampment comes into play tapped. <br>{T}: Add {R} to your mana pool. <br>{1}{R}: Ghitu Encampment becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land. <i>(It deals combat damage before creatures without first strike.)</i>|Urza's Legacy|Uncommon|null|0
107504|Ghost Quarter| |Land| | |{T}: Add {1} to your mana pool. <br>{T}, Sacrifice Ghost Quarter: Destroy target land. Its controller may search his or her library for a basic land card, put it into play, then shuffle his or her library.|Dissension|Uncommon|null|0
4932|Ghost Town| |Land| | |{T}: Add {1} to your mana pool. <br>{0}: Return Ghost Town to its owner's hand. Play this ability only if it's not your turn.|Tempest|Uncommon|null|0
153455|Gilt-Leaf Palace| |Land| | |As Gilt-Leaf Palace comes into play, you may reveal an Elf card from your hand. If you don't, Gilt-Leaf Palace comes into play tapped. <br>{T}: Add {B} or {G} to your mana pool.|Lorwyn|Rare|null|0
2752|Glacial Chasm| |Land| | |Cumulative upkeep-Pay 2 life. <i>(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)</i> <br>If Glacial Chasm would come into play, sacrifice a land instead. If you do, put Glacial Chasm into play. If you don't, put it into its owner's graveyard. <br>Skip your combat phase. <br>Prevent all damage that would be dealt to you.|Ice Age|Uncommon|null|0
48132|Glimmervoid| |Land| | |At end of turn, if you control no artifacts, sacrifice Glimmervoid. <br>{T}: Add one mana of any color to your mana pool.|Mirrodin|Rare|null|0
13012|Goblin Burrows| |Land| | |{T}: Add {1} to your mana pool. <br>{1}{R}, {T}: Target Goblin creature gets +2/+0 until end of turn.|Onslaught|Uncommon|null|0
96935|Godless Shrine| |Land - Plains Swamp| | |<i>({T}: Add {W} or {B} to your mana pool.)</i> <br>As Godless Shrine comes into play, you may pay 2 life. If you don't, Godless Shrine comes into play tapped.|Guildpact|Rare|null|0
74668|Gods' Eye, Gate to the Reikai| |Legendary Land| | |{T}: Add {1} to your mana pool. <br>When Gods' Eye, Gate to the Reikai is put into a graveyard from play, put a 1/1 colorless Spirit creature token into play.|Betrayers of Kamigawa|Uncommon|null|0
87939|Golgari Rot Farm| |Land| | |Golgari Rot Farm comes into play tapped. <br>When Golgari Rot Farm comes into play, return a land you control to its owner's hand. <br>{T}: Add {B}{G} to your mana pool.|Ravnica: City of Guilds|Common|null|0
39647|Grand Coliseum| |Land| | |Grand Coliseum comes into play tapped. <br> <br>{T}: Add {1} to your mana pool. <br> <br>{T}: Add one mana of any color to your mana pool. Grand Coliseum deals 1 damage to you.|Onslaught|Rare|null|0
3573|Grasslands| |Land| | |Grasslands comes into play tapped. <br> <br>{T}, Sacrifice Grasslands: Search your library for a Forest or Plains card and put it into play. Then shuffle your library.|Mirage|Uncommon|null|0
130581|Graven Cairns| |Land| | |{T}: Add {1} to your mana pool. <br>{B/R}, {T}: Add {B}{B}, {B}{R}, or {R}{R} to your mana pool.|Future Sight|Rare|null|0
46066|Great Furnace| |Artifact Land| | |<i>(Great Furnace isn't a spell.)</i> <br>{T}: Add {R} to your mana pool.|Mirrodin|Common|null|0
3751|Griffin Canyon| |Land| | |{T}: Add {1} to your mana pool. <br>{T}: Untap target Griffin. If it's a creature, it gets +1/+1 until end of turn.|Visions|Rare|null|0
130595|Grove of the Burnwillows| |Land| | |{T}: Add {1} to your mana pool. <br>{T}: Add {R} or {G} to your mana pool. Each opponent gains 1 life.|Future Sight|Rare|null|0
97223|Gruul Turf| |Land| | |Gruul Turf comes into play tapped. <br>When Gruul Turf comes into play, return a land you control to its owner's hand. <br>{T}: Add {R}{G} to your mana pool.|Guildpact|Common|null|0
77924|Hall of the Bandit Lord| |Legendary Land| | |Hall of the Bandit Lord comes into play tapped. <br>{T}, Pay 3 life: Add {1} to your mana pool. If that mana is spent on a creature spell, that creature has haste.|Champions of Kamigawa|Rare|null|0
97071|Hallowed Fountain| |Land - Plains Island| | |<i>({T}: Add {W} or {U} to your mana pool.)</i> <br>As Hallowed Fountain comes into play, you may pay 2 life. If you don't, Hallowed Fountain comes into play tapped.|Dissension|Rare|null|0
2753|Halls of Mist| |Land| | |Cumulative upkeep {1} <i>(At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)</i> <br>Creatures that attacked during their controller's last turn can't attack.|Ice Age|Rare|null|0
1700|Hammerheim| |Legendary Land| | |{T}: Add {R} to your mana pool. <br> <br>{T}: Target creature loses all landwalk abilities until end of turn.|Legends|Uncommon|null|0
2007|Havenwood Battleground| |Land| | |Havenwood Battleground comes into play tapped. <br> <br>{T}: Add {G} to your mana pool. <br> <br>{T}, Sacrifice Havenwood Battleground: Add {G}{G} to your mana pool.|Fallen Empires|Uncommon|null|0
3232|Heart of Yavimaya| |Land| | |If Heart of Yavimaya would come into play, sacrifice a Forest instead. If you do, put Heart of Yavimaya into play. If you don't, put it into its owner's graveyard. <br> <br>{T}: Add {G} to your mana pool. <br> <br>{T}: Target creature gets +1/+1 until end of turn.|Alliances|Rare|null|0
19768|Henge of Ramos| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{2}, {T}: Add one mana of any color to your mana pool.|Mercadian Masques|Uncommon|null|0
19646|Hickory Woodlot| |Land| | |Hickory Woodlot comes into play tapped with two depletion counters on it. <br> <br>{T}, Remove a depletion counter from Hickory Woodlot: Add {G}{G} to your mana pool. If there are no depletion counters on Hickory Woodlot, sacrifice it.|Mercadian Masques|Common|null|0
19890|High Market| |Land| | |{T}: Add {1} to your mana pool. <br> <br>{T}, Sacrifice a creature: You gain 1 life.|Mercadian Masques|Rare|null|0
121259|Highland Weald| |Snow Land| | |Highland Weald comes into play tapped. <br>{T}: Add {R} or {G} to your mana pool.|Coldsnap|Uncommon|null|0
2008|Hollow Trees| |Land| | |Hollow Trees comes into play tapped. <br> <br>You may choose not to untap Hollow Trees during your untap step. <br> <br>At the beginning of your upkeep, if Hollow Trees is tapped, put a storage counter on it. <br> <br>{T}, Remove any number of storage counters from Hollow Trees: Add {G} to your mana pool for each storage counter removed this way.|Fallen Empires|Rare|null|0
130574|Horizon Canopy| |Land| | |{T}, Pay 1 life: Add {G} or {W} to your mana pool. <br>{1}, {T}, Sacrifice Horizon Canopy: Draw a card.|Future Sight|Rare|null|0
139513|Howltooth Hollow| |Land| | |Hideaway <i>(This land comes into play tapped. When it does, look at the top four cards of your library, remove one from the game face down, then put the rest on the bottom of your library.)</i> <br>{T}: Add {B} to your mana pool. <br>{B}, {T}: You may play the removed card without paying its mana cost if each player has no cards in hand.|Lorwyn|Rare|null|0
2009|Icatian Store| |Land| | |Icatian Store comes into play tapped. <br> <br>You may choose not to untap Icatian Store during your untap step. <br> <br>At the beginning of your upkeep, if Icatian Store is tapped, put a storage counter on it. <br> <br>{T}, Remove any number of storage counters from Icatian Store: Add {W} to your mana pool for each storage counter removed this way.|Fallen Empires|Rare|null|0
4185|Ice Floe| |Land| | |You may choose not to untap Ice Floe during your untap step. <br>{T}: Tap target creature without flying that's attacking you. It doesn't untap during its controller's untap step as long as Ice Floe remains tapped.|Fifth Edition|Uncommon|null|0
23235|Irrigation Ditch| |Land| | |Irrigation Ditch comes into play tapped. <br> <br>{T}: Add {W} to your mana pool. <br> <br>{T}, Sacrifice Irrigation Ditch: Add {G}{U} to your mana pool.|Invasion|Common|null|0
25964|Island| |Basic Land - Island| | |[U]|Invasion|BasicLand|null|0
989|Island of Wak-Wak| |Land| | |{T}: The power of target creature with flying becomes 0 until end of turn.|Arabian Nights|Rare|null|0
97220|Izzet Boilerworks| |Land| | |Izzet Boilerworks comes into play tapped. <br>When Izzet Boilerworks comes into play, return a land you control to its owner's hand. <br>{T}: Add {U}{R} to your mana pool.|Guildpact|Common|null|0
3752|Jungle Basin| |Land| | |Jungle Basin comes into play tapped. <br>When Jungle Basin comes into play, sacrifice it unless you return an untapped Forest you control to its owner's hand. <br>{T}: Add {1}{G} to your mana pool.|Visions|Uncommon|null|0
1701|Karakas| |Legendary Land| | |{T}: Add {W} to your mana pool. <br>{T}: Return target legendary creature to its owner's hand.|Legends|Uncommon|null|0
